NO,제목,공감/비공감,조회수,등록일,카테고리,세분화
2597,1학기 사이버 강의 대체를 요구합니다.,0 / 0,0,2020.03.14,행정지원,학사운영 전반에 관한 업무
2596,2020-1학기 전체 사이버강의 전환과 등록금 감면을 요구합니다,0 / 0,0,2020.03.14,행정지원,학사운영 전반에 관한 업무
2595,2020년 1학기 사이버강의의 기간 연장을 요구합니다.,0 / 0,2,2020.03.14,행정지원,학사운영 전반에 관한 업무
2594,음악대학 등록금감면 요구합니다,0 / 0,0,2020.03.14,대학,
2584,음악대학 등록금 감면 요구합니다,0 / 0,0,2020.03.14,대학,
2583,사이버강의 연장 부탁드립니다.,0 / 0,1,2020.03.14,행정지원,학사운영 전반에 관한 업무
2582,사이버강의 연장 바랍니다.,0 / 0,1,2020.03.14,행정지원,학사운영 전반에 관한 업무
2581,사이버 강의 연장 부탁드립니다,4 / 0,48,2020.03.14,행정지원,학사운영 전반에 관한 업무
2580,음악대학 등록금 감면을 요구합니다.,0 / 0,0,2020.03.14,대학,
2579,사이버 강의 기간 연장 부탁드립니다.,0 / 0,0,2020.03.14,행정지원,학사운영 전반에 관한 업무
2563,질병휴학,0 / 0,0,2020.03.14,행정지원,학사운영 전반에 관한 업무
2562,사이버강의 연장을 요청합니다.,0 / 0,1,2020.03.14,대학,
2561,음악대학 등록금 감면을 요구합니다.,0 / 0,0,2020.03.14,대학,
2560,한학기동안 사이버 강의 진행하는 것을 요구합니다,0 / 0,0,2020.03.14,행정지원,학사운영 전반에 관한 업무
2482,온라인강의 연장 건의합니다,0 / 0,1,2020.03.13,행정지원,학사운영 전반에 관한 업무
2481,사이버강의 연장,0 / 0,0,2020.03.13,행정지원,학사운영 전반에 관한 업무
2480,음악대학 등록금 감면 요구합니다.,0 / 0,1,2020.03.13,대학,
2479,이화여대를 향한 타 사이트 유저들의 무근거 비난행위에 대한 학교측의 고소를 요구합니다,0 / 0,2,2020.03.13,기타,
2340,"1학기 전체 혹은 5월 초까지 사이버 강의로 대체하고, 공지를 빨리 해주실 것을 제안합니다",0 / 0,0,2020.03.12,행정지원,학사운영 전반에 관한 업무
2339,1학기 전체기간 온라인 강의로 전환 바랍니다.,0 / 0,1,2020.03.12,행정지원,학사운영 전반에 관한 업무
2338,2339 '이화에대한 악의적~' 글 공감합니다. (비공감 오류),0 / 0,1,2020.03.12,기타,
2337,1학기 전체 사이버강의를 건의합니다.,0 / 0,0,2020.03.11,행정지원,학사운영 전반에 관한 업무
2336,이화여대에 대한 악의적 게시물에 대한 입학처 측의 강력한 대처가 시급합니다.,8 / 1,92,2020.03.11,기타,
2335,원격강의 기간 연장을 제안합니다.,0 / 0,1,2020.03.11,행정지원,학사운영 전반에 관한 업무
2334,1학기 전체 싸강 제안합니다,0 / 0,1,2020.03.11,행정지원,학사운영 전반에 관한 업무
2333,입시커뮤니티 대학 카테고리좀 정정해주세요 제발,0 / 0,0,2020.03.11,기타,
2332,싸이버강의 연장 또는 한학기 대체를 제안합니다.,0 / 0,0,2020.03.10,행정지원,학사운영 전반에 관한 업무
2331,원격수업 연장 반대,0 / 0,1,2020.03.10,행정지원,학사운영 전반에 관한 업무
2330,1학기 전체 싸강 또는 싸강연장을 학교에 제안합니다.,0 / 0,0,2020.03.10,행정지원,학사운영 전반에 관한 업무
2329,1학기 전체 싸강 전환 바랍니다,0 / 0,0,2020.03.10,행정지원,학사운영 전반에 관한 업무
2328,음대 등록금감면,0 / 0,0,2020.03.10,대학,
2327,2020년 1학기 전체 사의버강의 대체를 요청합니다.,0 / 0,2,2020.03.10,행정지원,학사운영 전반에 관한 업무
2326,음악대학 등록금 감면을 요구합니다.,0 / 0,0,2020.03.10,대학,
2325,통계학과 및 컴퓨터공학과의 수강우선신청제 추가등록을 바랍니다.,0 / 0,0,2020.03.10,대학,
2324,조예대 등록금 감면은 의견제안이 아닌 당연한 권리침해에 대한 요구입니다.,9 / 0,99,2020.03.09,대학,
2323,음대(예체능) 등록금 감면 요청합니다,9 / 1,232,2020.03.08,대학,
2322,실험/실습과목 위주의 학과에 대한 등록금 감면을 요구합니다.,0 / 0,3,2020.03.08,행정지원,학사운영 전반에 관한 업무
2321,음악대학 등록금 감면을 요구합니다.,473 / 0,1530,2020.03.07,대학,
2320,유명편입강사의 악질적인 이화비하글 조취를 취해주세요.,0 / 0,1,2020.03.07,기타,
2319,메가로스쿨 대학서열 정정해주세요,0 / 0,7,2020.03.07,기타,
2318,입시커뮤니티의 대학 카테고리화를 정정해주세요,0 / 0,2,2020.03.07,기타,
2317,악의적인 거짓배치표 고소해주십시오,0 / 0,2,2020.03.07,기타,
2316,메가엠디 및 핏단기의 대학서열 표기를 정정해주십시오,0 / 0,0,2020.03.07,기타,
2315,네이버 지식인에서 이화여대를 계속 비방하는 이를 처벌해주십시오,0 / 0,5,2020.03.06,기타,
2314,학교 홈페이지 SHORTCUT 배너 위치 수정을 건의드립니다.,0 / 0,1,2020.03.06,기타,
2313,음악대학 등록금 감면을 요청합니다.,0 / 0,0,2020.03.06,대학,
2312,등록금 인하 및 반환 요청드립니다.,0 / 0,0,2020.03.06,행정지원,학사운영 전반에 관한 업무
2311,음악대학 등록금 감면을 요구합니다,1 / 1,73,2020.03.05,대학,
2215,감사드립니다.,0 / 0,5,2020.03.02,대학,
2214,조예대 등록금 인하하세요.,13 / 1,97,2020.03.02,대학,
2213,입학식 관련,0 / 0,1,2020.03.01,학생지원,행사지원
2212,조예대 코로나19 대책 요구사항입니다.,0 / 0,9,2020.03.01,대학,
2211,입학식 관련 교직원분들께,0 / 0,1,2020.02.29,학생지원,행사지원
2210,전체 대학의 등록금 감면 요구합니다,0 / 0,1,2020.02.29,대학,
2209,코로나19 사태로 인한 금전적 피해를 왜 학생이 감당해야 합니까?,4 / 1,76,2020.02.29,대학,
2208,조예대 등록금 감면을 요청합니다,0 / 0,0,2020.02.29,대학,
2207,인터넨 강의 전환 시 조예대 등록금 감면 바랍니다.,6 / 1,41,2020.02.29,대학,
2206,입학식과 관련하여,0 / 0,0,2020.02.29,학생지원,핵상지원
2205,졸전학기 학생입니다. 조형예술대 등록금 감면을 촉구합니다.,0 / 0,0,2020.02.29,대학,
2204,조형예술대학의 등록금 감면을 요구합니다,0 / 0,0,2020.02.29,대학,
2203,"조예대를 비롯한 실기, 실습과목 위주 과의 등록금 감면 또는 수업 대책 마련을 요구한다.",0 / 0,1,2020.02.29,대학,
2202,조예대 등록금 감면을 요구합니다.,0 / 0,1,2020.02.28,대학,
2201,조예대 등록금 감면 요구합니다.,0 / 0,0,2020.02.28,대학,
2200,조예대 등록금 감면 요구합니다.,0 / 0,1,2020.02.28,대학,
2199,무용과 등록금감면을 요구합니다,0 / 0,0,2020.02.28,대학,
2198,조예대 등록금 감면을 요구합니다,0 / 0,0,2020.02.28,대학,
2197,음대 전공실기수업(1:1)수업에 대한 등록금 감면,0 / 0,0,2020.02.28,대학,
2196,기숙사 선택입사 가능하게 해주세요,0 / 0,3,2020.02.28,대학,
2195,실기실습 과목 수업을 어떻게 사이버강의로 대체합니까?,22 / 0,142,2020.02.28,대학,
2194,조예대를 비롯한 실기 실습 전공 단과대의 수업 특성을 고려하지 않은 싸강은 의미없는 헛짓거리다.,9 / 0,65,2020.02.28,대학,
2193,조예대를 비롯한 실기 실습 전공 단과대의 싸강 전환은 불가능합니다.,6 / 0,56,2020.02.28,대학,
2192,코로나 사태에 대한 개강연기 및 온라인강의 대체에 대한  등록금 감면 및 반환해 주세요.,0 / 0,1,2020.02.27,대학,
2191,기숙사 선택입사를 건의합니다,0 / 0,1,2020.02.27,생활지원,기숙사
2190,대학원도 싸강으로 해주세요.,0 / 0,5,2020.02.27,대학,
2189,코로나19 관련 학교 공식 홈페이지에 게시판 신설을 요청드립니다.,0 / 0,4,2020.02.27,대학,
2188,"편입생도 우수졸업, 최우수졸업이 가능하도록 제도적 한계를 없애주세요",1 / 0,59,2020.02.27,행정지원,학사운영 전반에 관한 업무
2187,학부생주차,0 / 0,2,2020.02.26,행정지원,학사운영 전반에 관한 업무
2186,채플 취소 및 강의 사이버 강의로 대체 부탁드립니다,0 / 0,0,2020.02.26,행정지원,학사운영 전반에 관한 업무
2185,개강 후 채플/강의를 온라인으로 대체해주세요,0 / 0,0,2020.02.26,행정지원,학사운영 전반에 관한 업무
2168,사이버 강의 대체를 건의합니다.,0 / 0,4,2020.02.25,행정지원,학사운영 전반에 관한 업무
2167,코로나19로 인한 사이버 강의 대체를 건의합니다,0 / 0,0,2020.02.25,행정지원,학사운영 전반에 관한 업무
2166,입학식 라이브 방송시 채팅 금지를 요구합니다,4 / 0,43,2020.02.25,기타,
2165,코로나로 인한 싸강 대체 요구합니다,0 / 0,0,2020.02.25,행정지원,학사운영 전반에 관한 업무
2164,사이버강의로대체바랍니다,0 / 0,0,2020.02.25,행정지원,학사운영 전반에 관한 업무
2155,조예대 메이데이 취소 건의합니다,0 / 0,0,2020.02.24,대학,
2154,사이버 강의로 대체를 건의합니다,0 / 0,1,2020.02.24,행정지원,학사운영 전반에 관한 업무
2153,채플과 수업을 사이버 강의로 대체해주세요,0 / 0,12,2020.02.24,행정지원,학사운영 전반에 관한 업무
2029,졸업식 연기 해주세요,5 / 0,39,2020.02.12,학생지원,행사지원
2028,졸업식 연기해주세요,0 / 0,0,2020.02.12,학생지원,행사지원
2027,졸업식 취소가 아닌 연기 부탁드립니다.,7 / 0,34,2020.02.12,학생지원,행사지원
2026,경영대 수업 증원 및 분반 확대,0 / 0,1,2020.02.12,대학,
2025,컴퓨터공학과 전공과목 증원 및 추가분반 개설을 요청합니다.,0 / 0,0,2020.02.12,대학,
2024,대기순번제의 불편함을 건의합니다,0 / 0,0,2020.02.12,행정지원,학사운영 전반에 관한 업무
2018,케이묵 인간은 왜 병에 걸리는가 인원 증원 부탁드립니다,0 / 0,1,2020.02.12,기타,
2017,졸업식 연기 부탁드립니다.,4 / 0,25,2020.02.12,학생지원,행사지원
2016,대기순번제의 불편함을 건의합니다.,0 / 0,5,2020.02.12,행정지원,학사운영 전반에 관한 업무
2015,사범대 우글 추가분반 개설,0 / 0,0,2020.02.12,대학,
2014,대기번호 수강신청 불편함에 대해 건의합니다.,0 / 0,0,2020.02.12,행정지원,학사운영 전반에 관한 업무
2013,미분적분학1 분반 추가개설 혹은 증원 요청합니다,0 / 0,1,2020.02.12,대학,
2012,컴퓨터공학 전공 과목 증원과 분반 개설 요청합니다,0 / 0,0,2020.02.12,대학,
2011,컴퓨터공학과 전공과목 증원및 추가분반 개설을 요청합니다,0 / 0,0,2020.02.12,대학,
2010,화학과를 비롯한 모든 전공학과의 전공과목 수강 보장 요청,0 / 0,0,2020.02.12,대학,
2009,경영대 수업 증원 및 분반확대,0 / 0,1,2020.02.12,대학,
2008,경영. 경제 분반 확충+복수전공 제한,0 / 0,4,2020.02.12,대학,
2007,대기순번제의 불편함에 대해 건의합니다,0 / 0,1,2020.02.12,행정지원,학사운영 전반에 관한 업무
2006,대기순번제의 불편함에 대해 건의합니다,0 / 0,1,2020.02.12,행정지원,학사운영 전반에 관한 업무
2005,경영대 수업 증원 및 분반 확대 요청,0 / 0,0,2020.02.12,대학,
2004,경영대 수업 증원 및 분반 확대 요청,0 / 0,0,2020.02.12,대학,
2003,경영대 수업 증원 및 분반 확대 요청,0 / 0,0,2020.02.12,대학,
2002,컴퓨터공학과 전공필수 과목 증원 바랍니다,0 / 0,1,2020.02.12,대학,
2001,경영학과 전공 분반 증원,0 / 0,0,2020.02.12,대학,
2000,경영학과 전공 분반 증원,0 / 0,0,2020.02.12,대학,
1999,경영학과 전공 분반 증원,0 / 0,0,2020.02.12,대학,
1998,경영학과 전공 분반 증원,0 / 0,0,2020.02.12,대학,
1997,컴퓨터공학전공 증원과 분반개설,0 / 0,0,2020.02.12,대학,
1996,컴퓨터공학전공 전공과목 증원 및 분반 개설 요청 바랍니다,0 / 0,0,2020.02.12,대학,
1995,컴퓨터공학부 전공필수 과목 증원 요청합니다.,0 / 0,2,2020.02.12,대학,
1994,컴퓨터공학부 전공필수 과목 증원 요청합니다.,0 / 0,0,2020.02.12,대학,
1993,컴퓨터공학부 전공필수 과목 증원 요청합니다.,0 / 0,0,2020.02.12,대학,
1992,2020 전기 학위수여식의 연기를 제안합니다,2 / 0,19,2020.02.12,학생지원,행사지원
1991,컴퓨터공학과 전공과목 증원 및 추가분반 개설을 요청합니다,0 / 0,0,2020.02.12,대학,
1990,2020 전기 학위수여식 취소가 아닌 연기를 의논해,0 / 0,0,2020.02.12,학생지원,행사지원
1989,컴퓨터공학과 전공과목 증원 및 추가분반 개설을 요청합니다.,0 / 0,0,2020.02.12,대학,
1988,컴퓨터공학과 전공과목 증원 및 추가분반 개설 요청합니다,0 / 0,0,2020.02.12,대학,
1987,수강신청 분반 확충과 교수진 확충을 요구합니다.,0 / 0,0,2020.02.12,행정지원,학사운영 전반에 관한 업무
1986,컴퓨터공학과 증원과 분반개설을 요청합니다,0 / 0,26,2020.02.12,대학,
1962,컴퓨터공학전공 주전생 우선수강신청 건의드립니다.,0 / 0,4,2020.02.12,대학,
1961,졸업식 연기해주세요,5 / 0,29,2020.02.12,학생지원,학사운영 전반에 관한 업무
1960,졸업식 연기해주시기 바랍니다.,4 / 0,20,2020.02.11,학생지원,학사운영 전반에 관한 업무
1959,졸업식 취소가 아닌 연기로 부탁드립니다. 제발요ㅠㅠ,0 / 0,0,2020.02.11,학생지원,학사운영 전반에 관한 업무
1859,(최)우등졸업 관련 교칙수정 제안,0 / 0,29,2020.02.10,기타,
1858,학위수여식 전면취소가 아닌 연기를 부탁드립니다.,4 / 0,22,2020.02.09,학생지원,행사지원
1857,학위수여식 전면취소가 아닌 연기를 부탁드립니다.,0 / 0,7,2020.02.09,학생지원,행사지원
1856,졸업식 연기 혹은 졸업유예 추가접수 요청드립니다.,3 / 0,18,2020.02.09,학생지원,행사지원
1855,졸업식 연기 혹은 졸업유예 추가접수 요청드립니다.,0 / 0,7,2020.02.09,학생지원,행사지원
1854,졸업식 연기하세요. 대책 마련하세요. 학교가 해야 할 일이니까요.,1 / 1,32,2020.02.09,학생지원,행사지원
1853,학위수여식의 취소가 아닌 연기를 요청합니다.,0 / 0,1,2020.02.08,학생지원,행사지원
1852,학위수여식의 취소가 아닌 연기를 요청합니다.,0 / 0,1,2020.02.08,학생지원,행사지원
1851,학위수여식의 취소가 아닌 연기를 요청합니다.,0 / 0,1,2020.02.08,학생지원,행사지원
1850,메가엠디핏단기 설중성이 표기 왜 냅두시나요,0 / 0,0,2020.02.08,기타,
1849,메가엠디핏단기 설중성이 표기 왜 냅두시나요,0 / 0,2,2020.02.08,기타,
1848,수만휘 대학카테고리 정정 왜 안 하나요?,0 / 0,0,2020.02.07,기타,
1847,수만휘 대학카테고리 정정 왜 안 하나요?,0 / 0,0,2020.02.07,기타,
1846,수만휘 대학카테고리 정정 왜 안 하나요?,0 / 0,0,2020.02.07,기타,
1845,수만휘 대학카테고리 정정 왜 안 하나요?,0 / 0,1,2020.02.07,기타,
1844,개강연기 반대 및 중국인 유학생 휴학조치,0 / 0,0,2020.02.07,기타,
1843,졸업식 연기 방안 마련해주십시오.,13 / 0,60,2020.02.06,학생지원,행사지원
1842,메가로스쿨 대학 서열화에 관하여,0 / 0,1,2020.02.06,기타,
1841,네이버 지식인에 지속적으로 이화여대를 '이건동홍'이라며 비하하는 사람이 있습니다.,0 / 0,25,2020.02.06,기타,
1840,종강 날짜를 변경하지 말아주세요.,0 / 0,1,2020.02.06,행정지원,학사운영 전반에 관한 업무
1826,중국인 유학생 기숙사 분리,0 / 0,0,2020.02.04,생활지원,기숙사
1825,중국인 유학생 이번학기에는 받지말아주세요,0 / 0,1,2020.02.04,기타,
1824,왜 학위복 관련 건의만 선택적으로 답변하시나요? 졸업식은 학위복만 입는 자리가 아닙니다. 졸업식 연기 방안 마련해주세요.,18 / 0,139,2020.02.04,학생지원,행사지원
1806,2020 졸업식을 연기해주세요. 아니면 '졸업 유예'로 바꿀 수 있게 해주시길 바랍니다.,12 / 0,99,2020.02.02,학생지원,행사지원
1805,기숙사 거주 학생 출입국 증명서 확인할 것을 제안합니다.,1 / 0,34,2020.02.02,생활지원,기숙사
1804,재수강 최대학점,0 / 0,0,2020.02.01,행정지원,학사운영 전반에 관한 업무
1803,학위수여식 연기를 간곡히 부탁드립니다.,6 / 0,54,2020.02.01,학생지원,행사지원
1802,관광객 통제 조치 결정에 대한 감사와 추가 요청,0 / 0,30,2020.02.01,기타,
1801,학위수여식 연기를 부탁드립니다.,3 / 0,29,2020.02.01,학생지원,행사지원
1800,학위수여식 연기해주세요,4 / 0,35,2020.02.01,학생지원,행사지원
1799,졸업식 관련하여 대책마련이 필요합니다.,0 / 0,0,2020.02.01,학생지원,행사지원
1798,학위수여식 연기시행을 정말 간곡히 부탁드립니다,7 / 0,33,2020.02.01,학생지원,행사지원
1797,졸업식은 그저 학위복을 입는 것만이 아닙니다. 연기해주시길 바랍니다.,10 / 0,75,2020.02.01,학생지원,행사지원
1796,학교 공용공간에 알콜손소독제를 비치 하면 좋겠습니다,1 / 0,21,2020.01.31,기타,
1795,2020년 전기 학위수여식 취소에 대한 건의입니다.,11 / 0,81,2020.01.31,학생지원,행사지원
1794,2020년 전기 학위수여식 취소에 대한 건의입니다.,6 / 0,48,2020.01.31,학생지원,행사지원
1793,우한폐렴 관광객 학교 대응 사항 관련 의문,0 / 0,59,2020.01.31,기타,
1784,2020년 2월 졸업식을 취소가 아닌 연기로 진행해주세요.,224 / 0,1350,2020.01.31,학생지원,행사지원
1783,관광객 출입 금지 통제 부탁드립니다,0 / 0,0,2020.01.31,기타,
1782,관광객 통제 체제 앞으로도 계속 유지해주세요,0 / 0,38,2020.01.31,기타,
1781,관광객 통제 체제 앞으로도 계속 유지해주세요,1 / 0,22,2020.01.31,기타,
1780,개강 연기,0 / 0,0,2020.01.31,기타,
1779,메가로스쿨 중경외시이 바로 잡아주시라구요 그게 그렇게 어려우세요?,0 / 0,1,2020.01.31,기타,
1778,중국인관광객 정문후문 완전 출입 통제,0 / 0,0,2020.01.31,기타,
1777,기숙사 통제,0 / 0,0,2020.01.30,생활지원,기숙사
1776,관광객 전면 출입금지 해주세요,0 / 0,0,2020.01.30,기타,
1775,관광객 통제 관련하여 감사드립니다.,0 / 0,4,2020.01.30,기타,
1774,메가로스쿨 강남캠퍼스 1월 29일자 설명회 설문지 '중경외시이' 정정해주세요,0 / 0,10,2020.01.30,기타,
1773,제발 관광객좀 막아주세요,0 / 0,0,2020.01.30,기타,
1772,후문 관광버스 통제,0 / 0,0,2020.01.30,기타,
1771,기숙사 통제,0 / 0,0,2020.01.30,생활지원,기숙사
1056,채플 시간대를 다양하게 늘려주시거나 채플 필수 이수 학기를 줄여주세요.,4 / 1,39,2020.01.22,기타,
1055,잡플래닛 제휴,0 / 0,30,2020.01.18,기타,
1054,구글에 '이화여대 상징색'의 메인 검색결과로 '이화그린'이 나오게 해주세요.,2 / 0,56,2020.01.16,기타,
1053,"기숙사 선발 시, 지역 거리 고려 제안",0 / 0,2,2020.01.15,생활지원,기숙사
1052,입시사이트 및 주요 입시커뮤니티 모니터링 요청,0 / 0,0,2020.01.15,기타,
1051,고의적 이화 취업률 폄하 기사에 빠른 대응 바랍니다,0 / 0,0,2020.01.15,기타,
1050,우리 학교 입결에 대한 인식을 정상화하는데 힘 써주시기 바랍니다.,0 / 0,1,2020.01.15,기타,
1049,정보인증제 자격증 확대 요구,0 / 0,11,2020.01.14,학생지원,학술지원
1048,외국인 유학생들을 위한 홈페이지 개편을 제안합니다.,5 / 0,54,2020.01.14,기타,
1047,외국인 유학생들을 위한 홈페이지 개편을 제안합니다.,0 / 0,10,2020.01.14,기타,
1046,입결 관련 허위 사실 유포 강경대응 부탁드립니다.,0 / 0,7,2020.01.13,기타,
1045,학습지원서비스를 확대해주시길 바랍니다.,0 / 0,1,2020.01.12,학생지원,학술지원
1044,나눔리더십 실천활동 제안드립니다 (장애 지원 시설 관련),0 / 0,2,2020.01.12,학생활동,멘토링
1043,"회계정보원리, 국제금융론 원격강의 개설을 원합니다.",0 / 0,1,2020.01.10,대학,
1042,입학처 입결 관리 제대로 해주십시오. 2020 주요 대학교 순위,0 / 0,3,2020.01.09,기타,
1041,정기주차 관련 건의,0 / 0,2,2020.01.05,기타,
1040,최초합 상위 50%~80% 입결을 공개해주세요.,0 / 0,3,2020.01.05,기타,
1039,교환학생 가서 들은 영어강의를 영어강의 학점으로 인정해주시길 바랍니다.,0 / 0,37,2019.12.31,행정지원,학사운영 전반에 관한 업무
1038,유튜브 “이화여대 좋은 대학교 아닙니다” 제목의 동영상 강력 대응 부탁드립니다!,0 / 0,1,2019.12.29,기타,
1037,"메가로스쿨, 메가엠디 '중경외시이' 표기 정정해주세요",0 / 0,12,2019.12.23,기타,
1036,입시관련,0 / 0,0,2019.12.18,행정지원,입학 및 학사운영
1035,"안녕하세요, 학교의 명예가 찢겨나가는 것을 눈뜨고 볼 수밖에 없어서 마음이 너무 아픕니다.",0 / 0,2,2019.12.18,기타,
1034,빨리 해결해주세요,0 / 0,0,2019.12.18,기타,
1033,진학사 중경외시이 시정 안 됐습니다,0 / 0,1,2019.12.18,기타,
1026,"학관 재건축, 리모델링 관련 제안",0 / 0,1,2019.12.14,생활지원,공간사용
1025,생협동동이 지원서 관련 건의,0 / 0,0,2019.12.13,기타,
1024,통제 알바 이렇게 하는게 무슨 의미가 있나요,0 / 0,1,2019.12.13,기타,
1019,통제아르바이트하는 분이 노래를 크게 틀어놓고 심지어 노래를 부르네요.,0 / 0,58,2019.12.13,기타,
1018,입시관련,0 / 0,0,2019.12.12,기타,
786,입시사이트의 오류를 바로잡아주세요,0 / 0,2,2019.12.11,기타,
785,입시사이트의 오류를 바로잡아주세요,0 / 0,1,2019.12.11,기타,
784,정문 셔틀버스 정거장에 앉을 공간을 마련해주세요.,0 / 0,13,2019.12.11,기타,
783,정시모집 동영상 수정 요구합니다.,0 / 0,0,2019.12.11,기타,
782,대외 이미지 관련,0 / 0,40,2019.12.11,기타,
781,입결 관련하여 학교측의 대응이 이루어 지고 있는지 궁금합니다,0 / 0,3,2019.12.11,기타,
780,입결관련 학교 대응 문의,1 / 0,39,2019.12.11,기타,
779,학교 대외이미지 및 입결관련,0 / 0,0,2019.12.11,기타,
778,국가근로 시간 연장요구,0 / 0,0,2019.12.09,행정지원,학사운영 전반에 관한 업무
777,흡연구역 확대 제안합니다,0 / 0,36,2019.12.07,기타,
776,빠른 조치 부탁드립니다 해결해주세요,0 / 0,0,2019.12.07,기타,
775,오늘자 문피아 웹소설 속 '이화여자대학교 영어영문학과'를 직접적으로 명시하면서 '술집 여자'로 현재 재/졸업생을 악성적으로 프레이밍한 글을 발견하여 급히 문피아 혹은 작가 측에 본교에서 신고/고소/경고 조치를 취하기를 바라 해당 악성게시물을 제보합니다.,0 / 0,61,2019.12.07,기타,
774,이화여대생을 비하하는 소설을 발견했습니다.,0 / 0,1,2019.12.07,기타,
773,실험실 안전교육 학기 내내 들을 수 있도록 해주세요,0 / 0,19,2019.12.06,행정지원,학사운영 전반에 관한 업무
772,불건전한 상호명,0 / 0,0,2019.12.05,기타,
769,고시장려금 및 합격장려금 제도 변경에 대해 관해 의견 있습니다.,0 / 0,36,2019.12.05,학생지원,학술지원
768,THE 포트폴리오 사이트 건의합니다.,0 / 0,0,2019.12.02,학생지원,학술지원
767,이메일 도메인을 ewhain.net 에서 ewha.ac.kr 로 바꿔주십오,0 / 0,46,2019.12.02,기타,
766,ECC 열람실 입구 졸업생 카드 읽히게 해주세요,0 / 0,2,2019.12.01,생활지원,편의시설
765,이하우스 분리수거 공간에 대해 건의사항이 있습니다.,0 / 0,18,2019.11.30,생활지원,기숙사
764,관광객이 출입금지표시를 제대로 이해할 수 있도록 조취를 취해주세요,0 / 0,22,2019.11.29,기타,
763,관광객이 출입금지표시를 제대로 이해할 수 있도록 조취를 취해주세요,0 / 0,22,2019.11.29,기타,
762,흡연구역 확대 및 시설 보충에 대한 요구,0 / 0,9,2019.11.29,기타,
761,디자인학부 복수전공생도 어도비 프로그램 사용을 지원해주셨으면 좋겠습니다.,0 / 0,0,2019.11.28,대학,
760,"편입생들은 1,2학년 필수교양을 졸업할 때까지 전전긍긍하며 못 듣는건가요. 대책이 필요합니다.",1 / 0,50,2019.11.27,행정지원,학교관련 제도
759,이화그린_이화여대 상징색을 지켜주세요,0 / 0,0,2019.11.27,기타,
758,이화그린-이화여대 상징색을 지켜주세요,0 / 0,0,2019.11.27,기타,
757,이화그린 상징색 공고히 해주세요,0 / 0,0,2019.11.27,기타,
756,이화그린 공식 컬러코드를 특허출원 해주십시오,0 / 0,0,2019.11.27,기타,
755,학교의 전통인 교표와 상징색 조작 및 무단 사용에 대한 강경한 대응을 요구합니다.,0 / 0,0,2019.11.27,기타,
754,건의사항,0 / 0,4,2019.11.27,기타,
753,고시준비컨설팅 횟수 늘려주세요.,0 / 0,0,2019.11.27,학생지원,고시지원
752,아산공학관 건물의 강의실 문을 고쳐주세요,0 / 0,1,2019.11.26,대학,
751,융합기초 교양과목의 사이버강의 개수를 늘려주세요,0 / 0,17,2019.11.26,행정지원,학사운영 전반에 관한 업무
750,현수막 정말 멋집니다! 효과가 좋은 것 같아요,0 / 0,48,2019.11.22,기타,
741,관광객 신고 규제,0 / 0,33,2019.11.20,기타,
740,현수막,0 / 0,44,2019.11.20,기타,
739,금일 정문에 현수막 달아주셔서 감사합니다!!!,0 / 0,1,2019.11.20,기타,
738,총장 졸업생 간담회 제안,1 / 0,40,2019.11.19,학생지원,행사지원
737,관광객 규제,1 / 0,31,2019.11.19,기타,
736,관광객 문제에 대해 학교가 제대로 문제파악을 하고 유의미한 대책을 세우기를 원합니다.,0 / 0,23,2019.11.19,기타,
735,"캐릭터, 슬로건 관련 제안드립니다",0 / 0,68,2019.11.19,행정지원,입학 및 학사운영
734,청소 노동자분들의 열악한 근무 환경 개선을 촉구합니다.,0 / 0,19,2019.11.18,기타,
733,장학금 관련 정책 제안합니다.,0 / 0,26,2019.11.14,학생지원,학술지원
732,학생의 건의에 대한 학교 홍보실의 대응 태도 시정 바랍니다,0 / 0,90,2019.11.10,행정지원,학사운영 전반에 관한 업무
731,사설 기업의 교표 무단 수정을 고발합니다.,1 / 0,91,2019.11.10,기타,
730,"학내 동물실험 거부권 및 대체법 도입, 강의계획안에 동물실험 유무 필수 기재를 바랍니다.",0 / 0,23,2019.11.09,대학,
729,학교 기획처에 법무팀 구성 요청,2 / 0,65,2019.11.07,행정지원,학사운영 전반에 관한 업무
728,이화인들을 위한 배드민턴 강좌를 열어주세요.,0 / 0,0,2019.11.06,학생활동,행사지원
691,입시 커뮤니티의 이화여대 혐오를 해결해주십시오,0 / 0,3,2019.11.05,기타,
690,어도비와의 제휴로 전교생이 어도비 프로그램을 사용할 수 있게 해주셨으면 좋겠습니다.,0 / 0,0,2019.11.04,학생지원,학술지원
689,관광객 문제를 해결해 주십시오.,0 / 0,2,2019.11.03,기타,
688,관광객 문제를 해결해주세요,0 / 0,34,2019.11.03,기타,
687,이화톡톡선배,0 / 0,0,2019.11.02,학생활동,멘토링
686,학내 동물실험 거부권 및 대체법 제안,0 / 0,16,2019.11.01,대학,
685,입시 커뮤니티의 이화 혐오를 멈춰주십시오.,0 / 0,0,2019.11.01,기타,
684,입시커뮤니티의 이화여대 혐오를 해결해주십시오.,0 / 0,1,2019.11.01,기타,
683,입시커뮤니티의 이화여대혐오와 명예훼손 문제를 해결해주십시오,0 / 0,1,2019.10.31,기타,
682,입시 커뮤니티의 이화여대 혐오를 멈춰주세요.,0 / 0,0,2019.10.31,기타,
